sort	code_glot	type_src	id_RefLex	name	genus	family_wals	lat	long
1	bokk1238	RefLex	3	manjaku	Central Atlantic	Niger-Congo	12.15	-16.13
2	mans1259	RefLex	5	sua	Sua	Niger-Congo	12.29	-15.15
3	jola1262	RefLex	8	joola kasa esuulaalu	Central Atlantic	Niger-Congo	12.55	-16.60
4	kuwa1246	RefLex	10	joola kwaatay	Central Atlantic	Niger-Congo	12.48	-16.73
5	sara1315	RefLex	11	manjaku-Bassarel	Central Atlantic	Niger-Congo	12.12	-16.18
6	mank1251	RefLex	12	mankanya	Central Atlantic	Niger-Congo	12.10	-15.70
7	jola1263	RefLex	14	joola fogny	Central Atlantic	Niger-Congo	12.94	-16.20
8	noon1242	RefLex	22	noon	Northern Atlantic	Niger-Congo	14.83	-16.88
9	bayo1255	RefLex	25	bayot	Central Atlantic	Niger-Congo	12.48	-16.37
10	jola1262	RefLex	29	joola kasa	Central Atlantic	Niger-Congo	12.40	-16.30
11	boun1242	RefLex	30	day de Bouna	Adamawa	Niger-Congo	8.60	17.80
12	band1340	RefLex	34	joola banjal	Central Atlantic	Niger-Congo	12.57	-16.41
13	bass1258	RefLex	35	basari	Northern Atlantic	Niger-Congo	12.60	-12.85
14	bedi1235	RefLex	36	bedik	Northern Atlantic	Niger-Congo	12.68	-12.33
15	bape1239	RefLex	37	bapen	Northern Atlantic	Niger-Congo	12.7	-12.77
16	tswa1253	RefLex	39	konyagi	Northern Atlantic	Niger-Congo	12.53	-13.13
17	gusi1246	RefLex	41	joola gusilay	Central Atlantic	Niger-Congo	12.77	-16.48
18	bond1247	RefLex	42	ndebele (Zimbabwe)	Bantoid	Niger-Congo	-19.50	28.50
19	bond1247	RefLex	51	bozo-hainyaxo	Western Mande	Niger-Congo	13.75	-5.75
20	chuk1274	RefLex	53	bozo-tigemaxo	Western Mande	Niger-Congo	14.25	-5.00
21	tave1240	RefLex	54	bozo-sorogama (Jenaama Pondori South)	Western Mande	Niger-Congo	13.9	-4.56
22	doee1238	RefLex	55	bozo-sorogama (Jenaama Kotya)	Western Mande	Niger-Congo	14.61121	-4.25245
23	embu1241	RefLex	56	bozo-tiema ciewe	Western Mande	Niger-Congo	15.60	-4.30
24	debo1238	RefLex	57	bozo-sorogama (Jenaama Debo)	Western Mande	Niger-Congo	15.40404	-4.23334
25	koro1305	RefLex	59	bozo-sorogama (Jenaama Korondougou South)	Western Mande	Niger-Congo	14.49	-4.19
26	kera1248	RefLex	61	keerak	Central Atlantic	Niger-Congo	12.36	-16.68
27	palo1243	RefLex	70	palor	Northern Atlantic	Niger-Congo	14.89	-16.92
28	lega1249	RefLex	74	lega-beya	Bantoid	Niger-Congo	-3.00	27.00
29	tswa1253	RefLex	84	tswana	Bantoid	Niger-Congo	-25.80	25.00
30	sere1260	RefLex	85	sereer	Northern Atlantic	Niger-Congo	14.50	-16.50
31	kaad1238	RefLex	92	zarma	Songhay	Songhay	14.47	0.87
32	tomo1243	RefLex	148	tomo kan	Dogon	Niger-Congo	13.80	-3.80
33	dogu1235	RefLex	150	dogul dom	Dogon	Niger-Congo	14.70	-3.60
