ID,id2,Macroarea,counts_wals,Longitude,Latitude
aar,aari1239,Africa,29,36.58333333,6
NA,aasa1238,Africa,0,36.8648,-4.00679
NA,abad1241,Multinesia,0,146.992,-9.03389
NA,abag1245,Multinesia,0,145.665,-6.12028
NA,abai1240,Multinesia,0,118.306,5.55394
NA,abai1241,Multinesia,0,116.162455,3.524226
NA,aban1242,Africa,0,8.63055,6.30619
NA,abar1238,Africa,0,10.2267,6.5805
aba,abau1245,Multinesia,19,141.25,-4
abz,abaz1241,Eurasia,8,42,44
NA,abee1242,Africa,0,-4.38497,5.59682
NA,aben1249,Multinesia,0,120.2,15.4131
abd,abid1235,Africa,4,-4.583333333,5.666666667
NA,abin1243,Multinesia,0,138.891,-2.92281
abi,abip1241,South America,75,-61,-29
NA,abis1238,South America,0,-75.084405,-1.284096
abk,abkh1244,Eurasia,148,41,43.08333333
NA,abom1238,Multinesia,0,142.842,-8.42448
NA,abon1238,Africa,0,10.8769,6.90621
NA,abro1238,Africa,0,-2.50289,7.72094
NA,abua1244,Africa,0,6.61492,4.83057
aab,abua1245,Multinesia,22,142.95,-3.45
abv,abui1241,Multinesia,31,124.6666667,-8.25
abu,abun1252,Multinesia,62,132.5,-0.5
NA,abur1243,Africa,0,-3.64123,5.21534
NA,abur1244,Africa,0,6.50634,4.62301
NA,abuu1241,Multinesia,0,144.474,-4.24027
tlp,acat1239,North America,53,-99,17.08333333
acn,acha1249,Eurasia,15,98.5,25
acg,acha1250,South America,37,-72.25,4.416666667
NA,ache1244,Eurasia,0,102.446,24.152
NA,ache1245,Africa,0,30.3187,10.8827
ach,ache1246,South America,12,-55.16666667,-25.25
aci,achi1256,North America,1,-90.5,15.16666667
ace,achi1257,Multinesia,75,95.5,5.5
acm,achu1247,North America,45,-121,41.5
acu,achu1248,South America,18,-76,-2.66667
acl,acol1236,Africa,36,32.66666667,3
NA,acro1239,South America,0,-40.21445,-12.594
NA,adab1235,Multinesia,0,125.576,-8.22674
NA,adai1235,North America,0,-92.0059,31.6314
ada,adam1238,Africa,2,-0.166666667,5.833333333
fua,adam1253,Africa,66,13.5,9.166666667
NA,adan1247,Africa,0,0.13243,5.9437
NA,adan1248,Africa,0,0.727155,6.50546
adg,adan1251,Multinesia,32,124,-8.2
NA,adap1234,Eurasia,0,90.3369,27.141
NA,adas1235,Multinesia,0,120.905,17.8187
NA,adel1244,Africa,0,0.619185,8.16975
NA,adha1238,Eurasia,0,48.06,40.05
NA,adho1243,Africa,0,34.0341,0.73235
adi,adio1239,Africa,37,-4.583333333,5.416666667
oko,adiv1239,Eurasia,2,83,18.33333333
NA,adiw1235,Eurasia,0,73.1426,24.0712
adn,adny1235,Australia,15,139.5,-30.5
NA,adon1237,Multinesia,0,123.159,-8.32027
NA,adug1238,Africa,0,6.13085,7.64567
NA,adur1234,Eurasia,0,69.32,33.79
adt,adyg1241,Eurasia,2,39.7,45.21666667
adz,adze1240,Multinesia,49,146.25,-6.25
NA,aeka1244,Multinesia,0,147.99477,-8.855095
awi,aeky1238,Multinesia,11,141.4166667,-5.75
NA,aerr1238,Eurasia,0,69.029,25.254
ktk,afad1236,Africa,15,15.33333333,11.33333333
qaf,afar1241,Africa,28,42,12
NA,afgh1239,Eurasia,0,70.447778,34.434167
NA,afit1238,Africa,0,30.7611,12.446
afr,afri1274,Africa,16,22,-31
NA,afro1254,North America,0,-99.2934,31.784300000000002
NA,afud1235,Africa,0,11.296849,9.831149
NA,agar1251,Eurasia,0,82.297,24.5024
aga,agar1252,Multinesia,22,146,-6.166666667
NA,agat1236,Africa,0,7.71639,7.97915
NA,agav1236,South America,0,-53.43936,-13.29849
agh,aghe1239,Africa,34,10,6.666666667
agl,aghu1253,Eurasia,6,47.66666667,41.75
NA,aghu1254,Australia,0,142.426,-13.735
ahu,aghu1255,Multinesia,5,140.1666667,-6.166666667
NA,aghu1256,Australia,0,144,-15
NA,aghw1237,Eurasia,0,47.126667,40.374444
NA,agii1245,Multinesia,0,142.387,-3.49104
NA,agob1244,Multinesia,0,142.532,-9.08521
NA,agoi1246,Africa,0,8.21629,5.87953
NA,agta1234,Multinesia,0,122.2802,17.0538
NA,agua1251,South America,0,-75.8333,-5.25
agu,agua1252,North America,10,-91.33333333,15.41666667
agr,agua1253,South America,5,-78,-5
NA,agun1238,Africa,0,1.74452,7.49256
NA,agus1235,Multinesia,0,125.742,8.62731
NA,agut1237,Multinesia,0,119.655,10.5328
NA,agwa1247,Africa,0,8.03166,5.81055
NA,ahan1243,Africa,0,-1.94657,4.85147
NA,ahan1244,Africa,0,6.00896,7.44139
NA,aher1237,Eurasia,0,80.0058,19.4163
NA,aheu1239,Eurasia,0,104.229,17.7655
NA,ahin1234,Multinesia,0,120.90003,16.321
NA,ahir1243,Eurasia,0,73.685,21.552
NA,ahom1240,Eurasia,0,88.464,27.2778
aht,ahte1237,North America,16,-145,62
NA,ahwa1235,Africa,0,8.56205,9.17635
NA,aich1238,Eurasia,0,107.844,25.4908
NA,aigh1235,Multinesia,0,150.272,-5.99488
aik,aika1237,South America,14,-60.66666667,-12.66666667
NA,aikl1237,Multinesia,0,149.571,-6.23575
NA,aima1241,Eurasia,0,59.1756,35.283
NA,aime1238,Multinesia,0,142.656,-6.68656
NA,aimo1244,Eurasia,0,94.3556,24.6437
NA,ainb1238,Multinesia,0,141.149,-3.09214
ain,ainu1240,Eurasia,134,143,43
ayn,ainu1251,Eurasia,1,76,39.5
NA,aiom1240,Multinesia,0,144.765,-5.13467
